# Rime table
# coding: utf-8
#@/db_name	custom_phrase.txt
#@/db_type	tabledb
#
# 自定义文本
# 适用于全拼，在方案的 custom_phrase/user_dict 指定；
#
# 以 Tab 分割：汉字<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（即排在候选项的最前面，因为指定了高权重 custom_phrase/initial_quality: 99）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以建议只固定非完整编码的字词，「的de」应为「的d」，「是shi」应为「是s」，「仙剑xianjian」应为「仙剑xj」。
# 也不要写 a e o，因为这三个本身就是完整编码，写了则无法参与造词。
#
# ※ 如果你打算兼容繁体字输入模式，则应使用繁体字，例如：‘个g’应为‘個g’。
#
# version: "2024.1.12"
#
# 此行之后不能写注释

的	d	2
都	d	1
個	g
和	h
了	l
你	n
哦	o
人	r
是	s
是	sh
他	t
我	w
在	z
中	zh

欻	chua
噷	hm
叒	yyy
又雙叒叕	yyyy
